channel
L1:GDS-CALIB_STRAIN_CLEAN
L1:GDS-CALIB_STRAIN_NOLINES
L1:GDS-CALIB_STRAIN
L1:CAL-DELTAL_EXTERNAL_DQ
L1:CAL-CFTD_DELTAL_EXTERNAL_DQ
L1:CAL-DELTAL_RESIDUAL_DBL_DQ
L1:CAL-CFTD_DELTAL_RESIDUAL_DBL_DQ
L1:CAL-DARM_CTRL_DBL_DQ
L1:CAL-DARM_ERR_DBL_DQ
L1:LSC-DARM_IN1_DQ
L1:LSC-DARM_OUT_DQ
L1:LSC-DARM_IN2_DQ
L1:ASC-AS_A_DC_SUM_OUT_DQ
L1:ASC-AS_A_RF45_I_PIT_OUT_DQ
L1:ASC-AS_A_RF45_I_YAW_OUT_DQ
L1:ASC-AS_A_RF45_Q_PIT_OUT_DQ
L1:ASC-AS_A_RF45_Q_YAW_OUT_DQ
L1:ASC-AS_B_DC_SUM_OUT_DQ
L1:ASC-AS_B_RF45_I_PIT_OUT_DQ
L1:ASC-AS_B_RF45_I_YAW_OUT_DQ
L1:ASC-AS_B_RF45_Q_PIT_OUT_DQ
L1:ASC-AS_B_RF45_Q_YAW_OUT_DQ
L1:OMC-ASC_ANG_X_OUT_DQ
L1:OMC-ASC_ANG_Y_OUT_DQ
L1:OMC-ASC_P1_I_OUT_DQ
L1:OMC-ASC_P2_I_OUT_DQ
L1:OMC-ASC_POS_X_OUT_DQ
L1:OMC-ASC_POS_Y_OUT_DQ
L1:OMC-ASC_Y1_I_OUT_DQ
L1:OMC-ASC_Y2_I_OUT_DQ
L1:OMC-DCPD_NULL_OUT_DQ
L1:OMC-DCPD_SUM_OUT_DQ
L1:OMC-LSC_DITHER_OUT_DQ
L1:OMC-LSC_I_OUT_DQ
L1:OMC-LSC_SERVO_OUT_DQ
L1:PEM-EY_MAG_EBAY_SUSRACK_X_DQ
L1:PEM-EY_MAG_EBAY_SUSRACK_Y_DQ
L1:PEM-EY_MAG_EBAY_SUSRACK_Z_DQ
L1:PEM-EX_VMON_ETMX_ESDPOWER18_DQ
L1:OAF-BOS_CAL_SUM_OUT_DQ
L1:OAF-BOS_MAINSMON_SUM_OUT_DQ
L1:OAF-BOS_LSC_SUM_OUT_DQ
L1:OAF-BOS_ASC_SUM_OUT_DQ
