L1:LSC-MOD_RF45_AM_CTRL_OUT_DQ
L1:LSC-MOD_RF45_AM_ERR_OUT_DQ
L1:LSC-MOD_RF9_AM_CTRL_OUT_DQ
L1:LSC-MOD_RF9_AM_ERR_OUT_DQ
L1:LSC-POPAIR_B_RF90_I_ERR_DQ
L1:LSC-POP_A_RF45_I_ERR_DQ
L1:LSC-POP_A_RF45_Q_ERR_DQ
L1:LSC-POP_A_RF9_I_ERR_DQ
L1:LSC-POP_A_RF9_Q_ERR_DQ
L1:LSC-REFL_A_RF45_I_ERR_DQ
L1:LSC-REFL_A_RF45_Q_ERR_DQ
L1:LSC-REFL_A_RF9_I_ERR_DQ
L1:LSC-REFL_A_RF9_Q_ERR_DQ
