L1:ASC-INP2_P_OUT_DQ
L1:ASC-INP2_Y_OUT_DQ
L1:ASC-MICH_P_OUT_DQ
L1:ASC-MICH_Y_OUT_DQ
L1:ASC-PRC2_P_OUT_DQ
L1:ASC-PRC2_Y_OUT_DQ
L1:ASC-SRC1_P_OUT_DQ
L1:ASC-SRC1_Y_OUT_DQ
L1:ASC-SRC2_P_OUT_DQ
L1:ASC-SRC2_Y_OUT_DQ
L1:ASC-CHARD_P_OUT_DQ
L1:ASC-CHARD_Y_OUT_DQ
L1:ASC-DHARD_P_OUT_DQ
L1:ASC-DHARD_Y_OUT_DQ
L1:ASC-DC6_P_OUT_DQ
L1:ASC-DC6_Y_OUT_DQ
L1:ASC-DC7_P_OUT_DQ
L1:ASC-DC7_Y_OUT_DQ
L1:ASC-CHARD_HAM1_P_A_OUT_DQ
L1:ASC-CHARD_P_A_OUT_DQ
L1:ASC-CHARD_P_B_OUT_DQ
L1:ASC-CHARD_Y_A_OUT_DQ
L1:ASC-CHARD_Y_B_OUT_DQ
L1:ASC-CHARD_RM_P_A_OUT_DQ
L1:ASC-DHARD_P_A_OUT_DQ
L1:ASC-DHARD_P_B_OUT_DQ
L1:ASC-DHARD_Y_A_OUT_DQ
L1:ASC-DHARD_Y_B_OUT_DQ
L1:ASC-X_TR_A_NSUM_OUT_DQ
L1:ASC-X_TR_B_NSUM_OUT_DQ
L1:ASC-Y_TR_A_NSUM_OUT_DQ
L1:ASC-Y_TR_B_NSUM_OUT_DQ
