channel
H1:CAL-DELTAL_EXTERNAL_DQ
H1:CAL-CFTD_DELTAL_EXTERNAL_DQ
H1:CAL-DELTAL_RESIDUAL_DBL_DQ
H1:CAL-CFTD_DELTAL_RESIDUAL_DBL_DQ
H1:CAL-DARM_CTRL_DBL_DQ
H1:CAL-DARM_ERR_DBL_DQ
H1:LSC-DARM_IN1_DQ
H1:LSC-DARM_OUT_DQ
H1:LSC-DARM1_IN2_DQ
H1:LSC-X_TR_A_LF_OUT_DQ
H1:ASC-AS_A_RF45_I_PIT_OUT_DQ
H1:ASC-AS_A_RF45_I_YAW_OUT_DQ
H1:ASC-AS_A_RF45_Q_PIT_OUT_DQ
H1:ASC-AS_A_RF45_Q_YAW_OUT_DQ
H1:ASC-AS_B_RF45_I_PIT_OUT_DQ
H1:ASC-AS_B_RF45_I_YAW_OUT_DQ
H1:ASC-AS_B_RF45_Q_PIT_OUT_DQ
H1:ASC-AS_B_RF45_Q_YAW_OUT_DQ
H1:HPI-HAM6_BLND_L4C_X_IN1_DQ
H1:OMC-ASC_ANG_X_OUT_DQ
H1:OMC-ASC_ANG_Y_OUT_DQ
H1:OMC-ASC_P1_I_OUT_DQ
H1:OMC-ASC_P2_I_OUT_DQ
H1:OMC-ASC_POS_X_OUT_DQ
H1:OMC-ASC_POS_Y_OUT_DQ
H1:OMC-ASC_Y1_I_OUT_DQ 
H1:OMC-ASC_Y2_I_OUT_DQ
H1:OMC-DCPD_NULL_OUT_DQ
H1:OMC-DCPD_SUM_OUT_DQ
H1:OMC-LSC_I_OUT_DQ
H1:OMC-LSC_SERVO_OUT_DQ
H1:PEM-CS_MAG_EBAY_SUSRACK_X_DQ
H1:PEM-CS_MAG_EBAY_SUSRACK_Y_DQ
H1:PEM-CS_MAG_EBAY_SUSRACK_Z_DQ
H1:PEM-EX_MAG_EBAY_SUSRACK_X_DQ
H1:PEM-EX_MAG_EBAY_SUSRACK_Y_DQ
H1:PEM-EX_MAG_EBAY_SUSRACK_Z_DQ
H1:PEM-EY_MAG_EBAY_SUSRACK_X_DQ
H1:PEM-EY_MAG_EBAY_SUSRACK_Y_DQ
H1:PEM-EY_MAG_EBAY_SUSRACK_Z_DQ
H1:PEM-EX_VMON_ETMX_ESDPOWERMINUS18_DQ
H1:PEM-EX_VMON_ETMX_ESDPOWER18_DQ
H1:PEM-EX_VMON_ETMX_ESDPOWER48_DQ
H1:PSL-OSC_PD_INT_DC_OUT_DQ
H1:OAF-BOS_CAL_SUM_OUT_DQ
H1:OAF-BOS_MAINSMON_SUM_OUT_DQ
H1:OAF-BOS_LSC_SUM_OUT_DQ
H1:OAF-BOS_ASC_SUM_OUT_DQ
H1:OAF-JITTER_SUM_OUT_DQ
H1:OAF-LASERNOISE_SUM_OUT_DQ
H1:OAF-LSC_PRCL_SUM_OUT_DQ
