H1:OMC-ASC_ANG_X_OUT_DQ
H1:OMC-ASC_ANG_Y_OUT_DQ
H1:OMC-ASC_P1_I_OUT_DQ
H1:OMC-ASC_P2_I_OUT_DQ
H1:OMC-ASC_POS_X_OUT_DQ
H1:OMC-ASC_POS_Y_OUT_DQ
H1:OMC-ASC_Y1_I_OUT_DQ
H1:OMC-ASC_Y2_I_OUT_DQ
H1:OMC-DCPD_NULL_OUT_DQ
H1:OMC-DCPD_SUM_OUT_DQ
H1:OMC-LSC_I_OUT_DQ
H1:OMC-LSC_SERVO_OUT_DQ
H1:OMC-PZT1_MON_AC_OUT_DQ
H1:OMC-PZT1_MON_DC_OUT_DQ
H1:OMC-PZT2_MON_AC_OUT_DQ
H1:OMC-PZT2_MON_DC_OUT_DQ
